area_code,area_name,indicator,period,measure,unit,value
E06000005,Darlington,Alcohol related admissions (narrow measure),2008/09,Directly standardised rate,Persons,739.592872312879
E06000007,Warrington,Alcohol related admissions (narrow measure),2008/09,Directly standardised rate,Persons,677.39039336667
E06000014,York,Alcohol related admissions (narrow measure),2008/09,Directly standardised rate,Persons,446.561043060909
E06000020,Telford and Wrekin,Alcohol related admissions (narrow measure),2008/09,Directly standardised rate,Persons,713.022601265191
E06000025,South Gloucestershire,Alcohol related admissions (narrow measure),2008/09,Directly standardised rate,Persons,565.089581623858
E06000030,Swindon,Alcohol related admissions (narrow measure),2008/09,Directly standardised rate,Persons,609.080840789378
E06000031,Peterborough,Alcohol related admissions (narrow measure),2008/09,Directly standardised rate,Persons,580.322318166253
E06000034,Thurrock,Alcohol related admissions (narrow measure),2008/09,Directly standardised rate,Persons,414.99664465269
E06000038,Reading,Alcohol related admissions (narrow measure),2008/09,Directly standardised rate,Persons,424.087537973866
E06000042,Milton Keynes,Alcohol related admissions (narrow measure),2008/09,Directly standardised rate,Persons,576.951187335802
E06000050,Cheshire West and Chester,Alcohol related admissions (narrow measure),2008/09,Directly standardised rate,Persons,570.07310178637
E06000055,Bedford,Alcohol related admissions (narrow measure),2008/09,Directly standardised rate,Persons,431.747151626425
E08000007,Stockport,Alcohol related admissions (narrow measure),2008/09,Directly standardised rate,Persons,639.663263341489
E08000009,Trafford,Alcohol related admissions (narrow measure),2008/09,Directly standardised rate,Persons,500.051811919306
E08000029,Solihull,Alcohol related admissions (narrow measure),2008/09,Directly standardised rate,Persons,617.777248705726
E06000029,Poole,Alcohol related admissions (narrow measure),2008/09,Directly standardised rate,Persons,565.548067234408
E06000005,Darlington,Alcohol related admissions (narrow measure),2009/10,Directly standardised rate,Persons,697.276337005753
E06000007,Warrington,Alcohol related admissions (narrow measure),2009/10,Directly standardised rate,Persons,695.727866399328
E06000014,York,Alcohol related admissions (narrow measure),2009/10,Directly standardised rate,Persons,462.067649376763
E06000020,Telford and Wrekin,Alcohol related admissions (narrow measure),2009/10,Directly standardised rate,Persons,707.694043864785
