area_code,area_name,indicator,period,measure,unit,value
E92000001,England,Employment rate - aged 16-64,2010-03-01,Percentage,Persons,70.4
E11000001,Greater Manchester,Employment rate - aged 16-64,2010-03-01,Percentage,Persons,66.5
E08000009,Trafford,Employment rate - aged 16-64,2010-03-01,Percentage,Persons,71
E92000001,England,Employment rate - aged 16-64,2011-03-01,Percentage,Persons,70.3
E11000001,Greater Manchester,Employment rate - aged 16-64,2011-03-01,Percentage,Persons,66.8
E08000009,Trafford,Employment rate - aged 16-64,2011-03-01,Percentage,Persons,72.6
E92000001,England,Employment rate - aged 16-64,2012-03-01,Percentage,Persons,70.2
E11000001,Greater Manchester,Employment rate - aged 16-64,2012-03-01,Percentage,Persons,66
E08000009,Trafford,Employment rate - aged 16-64,2012-03-01,Percentage,Persons,71.7
E92000001,England,Employment rate - aged 16-64,2013-03-01,Percentage,Persons,71
E11000001,Greater Manchester,Employment rate - aged 16-64,2013-03-01,Percentage,Persons,67.6
E08000009,Trafford,Employment rate - aged 16-64,2013-03-01,Percentage,Persons,72
E92000001,England,Employment rate - aged 16-64,2014-03-01,Percentage,Persons,71.7
E11000001,Greater Manchester,Employment rate - aged 16-64,2014-03-01,Percentage,Persons,67.8
E08000009,Trafford,Employment rate - aged 16-64,2014-03-01,Percentage,Persons,73.4
E92000001,England,Employment rate - aged 16-64,2015-03-01,Percentage,Persons,72.9
E11000001,Greater Manchester,Employment rate - aged 16-64,2015-03-01,Percentage,Persons,69.3
E08000009,Trafford,Employment rate - aged 16-64,2015-03-01,Percentage,Persons,75.4
E92000001,England,Employment rate - aged 16-64,2016-03-01,Percentage,Persons,73.9
E11000001,Greater Manchester,Employment rate - aged 16-64,2016-03-01,Percentage,Persons,70.3
E08000009,Trafford,Employment rate - aged 16-64,2016-03-01,Percentage,Persons,79
E92000001,England,Employment rate - aged 16-64,2017-03-01,Percentage,Persons,74.4
E11000001,Greater Manchester,Employment rate - aged 16-64,2017-03-01,Percentage,Persons,70.6
E08000009,Trafford,Employment rate - aged 16-64,2017-03-01,Percentage,Persons,79.1
E92000001,England,Employment rate - aged 16-64,2018-03-01,Percentage,Persons,75.2
E11000001,Greater Manchester,Employment rate - aged 16-64,2018-03-01,Percentage,Persons,72.6
E08000009,Trafford,Employment rate - aged 16-64,2018-03-01,Percentage,Persons,77.7
E92000001,England,Employment rate - aged 16-64,2019-03-01,Percentage,Persons,75.6
E11000001,Greater Manchester,Employment rate - aged 16-64,2019-03-01,Percentage,Persons,72.6
E08000009,Trafford,Employment rate - aged 16-64,2019-03-01,Percentage,Persons,77
