area_code,area_name,period,value,indicator,measure,unit,group
E22000107,Trafford,2008/09,78.624537858031815,Offence rate,"Rate per 1,000",Offences,Total recorded crime
E22000107,Trafford,2008/09,8.7299814459402167,Offence rate,"Rate per 1,000",Offences,Violence against the person
E22000107,Trafford,2008/09,0.67013434598078947,Offence rate,"Rate per 1,000",Offences,Sexual offences
E22000107,Trafford,2008/09,2.5756864318309254,Offence rate,"Rate per 1,000",Offences,Robbery
E22000107,Trafford,2008/09,43.9963712453102,Offence rate,"Rate per 1,000",Offences,Theft offences
E22000107,Trafford,2008/09,15.349267638893322,Offence rate,"Rate per 1,000",Offences,Criminal damage and arson
E22000107,Trafford,2008/09,7.3030967500763593,Offence rate,"Rate per 1,000",Offences,Other crimes against society
E22000107,Trafford,2009/10,71.445059496059997,Offence rate,"Rate per 1,000",Offences,Total recorded crime
E22000107,Trafford,2009/10,8.3869303291858834,Offence rate,"Rate per 1,000",Offences,Violence against the person
E22000107,Trafford,2009/10,0.59292383870661136,Offence rate,"Rate per 1,000",Offences,Sexual offences
E22000107,Trafford,2009/10,2.136336273813134,Offence rate,"Rate per 1,000",Offences,Robbery
E22000107,Trafford,2009/10,39.182760852543012,Offence rate,"Rate per 1,000",Offences,Theft offences
E22000107,Trafford,2009/10,13.954077822385365,Offence rate,"Rate per 1,000",Offences,Criminal damage and arson
E22000107,Trafford,2009/10,7.1920303794259954,Offence rate,"Rate per 1,000",Offences,Other crimes against society
E22000107,Trafford,2010/11,62.600587272768024,Offence rate,"Rate per 1,000",Offences,Total recorded crime
E22000107,Trafford,2010/11,7.7780019276892389,Offence rate,"Rate per 1,000",Offences,Violence against the person
E22000107,Trafford,2010/11,0.48864680698451124,Offence rate,"Rate per 1,000",Offences,Sexual offences
E22000107,Trafford,2010/11,1.5466343890794163,Offence rate,"Rate per 1,000",Offences,Robbery
E22000107,Trafford,2010/11,34.232174478291078,Offence rate,"Rate per 1,000",Offences,Theft offences
E22000107,Trafford,2010/11,10.611256808553561,Offence rate,"Rate per 1,000",Offences,Criminal damage and arson
E22000107,Trafford,2010/11,7.9438728621702195,Offence rate,"Rate per 1,000",Offences,Other crimes against society
E22000107,Trafford,2011/12,55.044975447756556,Offence rate,"Rate per 1,000",Offences,Total recorded crime
E22000107,Trafford,2011/12,7.6897804061553758,Offence rate,"Rate per 1,000",Offences,Violence against the person
