area_code,area_name,name,url,lon,lat
E08000003,Manchester,Alexandra Park (Manchester),http://www.greenflagaward.org.uk/park-summary/?park=2389,-2.248757,53.451398
E08000010,Wigan,Alexandra Park (Wigan),http://www.greenflagaward.org.uk/park-summary/?park=569,-2.654797,53.535687
E08000003,Manchester,Barlow Hall,http://www.greenflagaward.org.uk/park-summary/?park=2923,-2.267624,53.428728
E08000006,Salford,Blackleach Country Park,http://www.greenflagaward.org.uk/park-summary/?park=526,-2.398,53.53
E08000003,Manchester,Blackley Cemetery & Crematorium,http://www.greenflagaward.org.uk/park-summary/?park=1717,-2.234182,53.529702
E08000002,Bury,Bolton Road Park,http://www.greenflagaward.org.uk/park-summary/?park=518,-2.343955,53.563459
E08000006,Salford,Boothsbank Park,http://www.greenflagaward.org.uk/park-summary/?park=3123,-2.411407,53.50153
E08000002,Bury,Burrs Country Park,http://www.greenflagaward.org.uk/park-summary/?park=493,-2.304,53.609
E08000002,Bury,Clarence Park,http://www.greenflagaward.org.uk/park-summary/?park=452,-2.29,53.604
E08000006,Salford,Clifton Country Park,http://www.greenflagaward.org.uk/park-summary/?park=451,-2.346,53.532
E08000002,Bury,Close Park,http://www.greenflagaward.org.uk/park-summary/?park=447,-2.307,53.565
E08000005,Rochdale,Denehurst Park,http://www.greenflagaward.org.uk/park-summary/?park=3307,-2.183074,53.621014
E08000009,Trafford,Denzell Gardens and The Devisdale,http://www.greenflagaward.org.uk/park-summary/?park=414,-2.371,53.382
E08000009,Trafford,Flixton Gardens,http://www.greenflagaward.org.uk/park-summary/?park=1300,-2.383446,53.445963
E08000003,Manchester,Gorton Cemetery,http://www.greenflagaward.org.uk/park-summary/?park=896,-2.163,53.456
E08000005,Rochdale,Hare Hill Park,http://www.greenflagaward.org.uk/park-summary/?park=322,-2.098,53.645
E08000005,Rochdale,"Hopwood Park, Heywood",http://www.greenflagaward.org.uk/park-summary/?park=3139,-2.210395,53.581978
E08000002,Bury,Hoyles Park,http://www.greenflagaward.org.uk/park-summary/?park=1180,-2.277689,53.598401
E08000009,Trafford,Hullard Park,http://www.greenflagaward.org.uk/park-summary/?park=280,-2.268,53.461
E08000009,Trafford,John Leigh Park (Altrincham),http://www.greenflagaward.org.uk/park-summary/?park=2824,-2.356046,53.390734
E08000010,Wigan,Jubilee Park,http://www.greenflagaward.org.uk/park-summary/?park=1085,-2.64,53.491
E08000005,Rochdale,"Jubilee Park, Middleton",http://www.greenflagaward.org.uk/park-summary/?park=3140,-2.196349,53.552897
E08000009,Trafford,Lostock Park,http://www.greenflagaward.org.uk/park-summary/?park=3104,-2.330704,53.45664
E08000002,Bury,Manchester Road Park,http://www.greenflagaward.org.uk/park-summary/?park=223,-2.296983,53.586503
E08000010,Wigan,Mesnes Park,http://www.greenflagaward.org.uk/park-summary/?park=2385,-2.636864,53.552611
E08000005,Rochdale,Middleton Cemetery,http://www.greenflagaward.org.uk/park-summary/?park=1356,-2.178,53.558
E08000005,Rochdale,Middleton Memorial Gardens,http://www.greenflagaward.org.uk/park-summary/?park=3308,-2.208214,53.54657
E08000005,Rochdale,Milnrow Memorial Park,http://www.greenflagaward.org.uk/park-summary/?park=195,-2.103,53.602
E08000002,Bury,Nuttall Park,http://www.greenflagaward.org.uk/park-summary/?park=172,-2.312073,53.642186
E08000002,Bury,Openshaw Park,http://www.greenflagaward.org.uk/park-summary/?park=160,-2.279,53.591
E08000007,Stockport,Peak Forest Canal,http://www.greenflagaward.org.uk/park-summary/?park=2816,-2.060261,53.393256
E08000006,Salford,Peel Green Cemetery,http://www.greenflagaward.org.uk/park-summary/?park=1177,-2.377,53.475
E08000006,Salford,Peel Park (Salford),http://www.greenflagaward.org.uk/park-summary/?park=3124,-2.27108,53.488403
E08000010,Wigan,Pennington Hall Park,http://www.greenflagaward.org.uk/park-summary/?park=1109,-2.524,53.487
E08000003,Manchester,Philips Park Cemetery,http://www.greenflagaward.org.uk/park-summary/?park=1178,-2.194,53.49
E08000005,Rochdale,Queen’s Park Heywood,http://www.greenflagaward.org.uk/park-summary/?park=109,-2.215,53.6
E08000001,Bolton,Queens Park (Bolton),http://www.greenflagaward.org.uk/park-summary/?park=2900,-2.444872,53.577461
E08000005,Rochdale,Rochdale Town Centre Parks,http://www.greenflagaward.org.uk/park-summary/?park=91,-2.159,53.616
E08000003,Manchester,Southern Cemetery,http://www.greenflagaward.org.uk/park-summary/?park=1562,-2.258,53.429
E08000002,Bury,St Mary’s Park,http://www.greenflagaward.org.uk/park-summary/?park=20,-2.27873,53.528071
E08000008,Tameside,Stamford Park,http://www.greenflagaward.org.uk/park-summary/?park=2392,-2.067493,53.491276
E08000002,Bury,Town Meadow Park,http://www.greenflagaward.org.uk/park-summary/?park=632,-2.338957,53.613331
E08000005,Rochdale,Truffet Park,http://www.greenflagaward.org.uk/park-summary/?park=915,-2.220927,53.552469
E08000006,Salford,Victoria Park (Salford),http://www.greenflagaward.org.uk/park-summary/?park=659,-2.327,53.508
