area_code,area_name,period,indicator,measure,unit,value,group
E08000001,Bolton,2007,Reports of potholes on FixMyStreet.com,Count,Reports,8,A60
E08000003,Manchester,2007,Reports of potholes on FixMyStreet.com,Count,Reports,2,A60
E08000005,Rochdale,2007,Reports of potholes on FixMyStreet.com,Count,Reports,2,A60
E08000006,Salford,2007,Reports of potholes on FixMyStreet.com,Count,Reports,7,A60
E08000007,Stockport,2007,Reports of potholes on FixMyStreet.com,Count,Reports,4,A60
E08000008,Tameside,2007,Reports of potholes on FixMyStreet.com,Count,Reports,1,A60
E08000009,Trafford,2007,Reports of potholes on FixMyStreet.com,Count,Reports,1,A60
E08000001,Bolton,2008,Reports of potholes on FixMyStreet.com,Count,Reports,20,A60
E08000002,Bury,2008,Reports of potholes on FixMyStreet.com,Count,Reports,7,A60
E08000003,Manchester,2008,Reports of potholes on FixMyStreet.com,Count,Reports,29,A60
E08000004,Oldham,2008,Reports of potholes on FixMyStreet.com,Count,Reports,11,A60
E08000005,Rochdale,2008,Reports of potholes on FixMyStreet.com,Count,Reports,7,A60
E08000006,Salford,2008,Reports of potholes on FixMyStreet.com,Count,Reports,31,A60
E08000007,Stockport,2008,Reports of potholes on FixMyStreet.com,Count,Reports,13,A60
E08000008,Tameside,2008,Reports of potholes on FixMyStreet.com,Count,Reports,2,A60
E08000009,Trafford,2008,Reports of potholes on FixMyStreet.com,Count,Reports,12,A60
E08000010,Wigan,2008,Reports of potholes on FixMyStreet.com,Count,Reports,1,A60
E08000001,Bolton,2009,Reports of potholes on FixMyStreet.com,Count,Reports,58,A60
E08000002,Bury,2009,Reports of potholes on FixMyStreet.com,Count,Reports,6,A60
E08000003,Manchester,2009,Reports of potholes on FixMyStreet.com,Count,Reports,57,A60
E08000004,Oldham,2009,Reports of potholes on FixMyStreet.com,Count,Reports,72,A60
E08000005,Rochdale,2009,Reports of potholes on FixMyStreet.com,Count,Reports,14,A60
E08000006,Salford,2009,Reports of potholes on FixMyStreet.com,Count,Reports,55,A60
E08000007,Stockport,2009,Reports of potholes on FixMyStreet.com,Count,Reports,33,A60
E08000008,Tameside,2009,Reports of potholes on FixMyStreet.com,Count,Reports,21,A60
E08000009,Trafford,2009,Reports of potholes on FixMyStreet.com,Count,Reports,12,A60
E08000010,Wigan,2009,Reports of potholes on FixMyStreet.com,Count,Reports,10,A60
E08000001,Bolton,2010,Reports of potholes on FixMyStreet.com,Count,Reports,49,A60
E08000002,Bury,2010,Reports of potholes on FixMyStreet.com,Count,Reports,24,A60
E08000003,Manchester,2010,Reports of potholes on FixMyStreet.com,Count,Reports,103,A60
E08000004,Oldham,2010,Reports of potholes on FixMyStreet.com,Count,Reports,80,A60
E08000005,Rochdale,2010,Reports of potholes on FixMyStreet.com,Count,Reports,55,A60
E08000006,Salford,2010,Reports of potholes on FixMyStreet.com,Count,Reports,84,A60
E08000007,Stockport,2010,Reports of potholes on FixMyStreet.com,Count,Reports,121,A60
E08000008,Tameside,2010,Reports of potholes on FixMyStreet.com,Count,Reports,13,A60
E08000009,Trafford,2010,Reports of potholes on FixMyStreet.com,Count,Reports,24,A60
E08000010,Wigan,2010,Reports of potholes on FixMyStreet.com,Count,Reports,13,A60
E08000001,Bolton,2011,Reports of potholes on FixMyStreet.com,Count,Reports,86,A60
E08000002,Bury,2011,Reports of potholes on FixMyStreet.com,Count,Reports,40,A60
E08000003,Manchester,2011,Reports of potholes on FixMyStreet.com,Count,Reports,158,A60
E08000004,Oldham,2011,Reports of potholes on FixMyStreet.com,Count,Reports,302,A60
E08000005,Rochdale,2011,Reports of potholes on FixMyStreet.com,Count,Reports,37,A60
E08000006,Salford,2011,Reports of potholes on FixMyStreet.com,Count,Reports,50,A60
E08000007,Stockport,2011,Reports of potholes on FixMyStreet.com,Count,Reports,138,A60
E08000008,Tameside,2011,Reports of potholes on FixMyStreet.com,Count,Reports,38,A60
E08000009,Trafford,2011,Reports of potholes on FixMyStreet.com,Count,Reports,46,A60
